emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
1.3703127,0.0,0.28845915,0.0,0.2297618,1.2304554,0.0,1.644337,0.0,0.0,0.0,1.1948681,0.31003618,0.0,0.0,1.9144044,0.0,0.38265777,1.2001332,1.5611683,2.2424505,2.204374,0.6343137,0.0,1.470509,0.6761041,1.8594213,0.20320922,0.60962033,0.0,1.1286825,1.4856764
1.4934306,0.31703275,0.0,0.0,0.045519546,0.70864046,0.0,1.6678615,0.0,0.0,0.0,1.2903488,0.0,0.0,0.0,2.1477337,0.0,0.35304874,1.9918655,1.4047316,2.498662,2.0653682,0.17784701,0.0,1.7048599,1.3717432,1.8491656,0.09631484,0.067690805,0.0,0.85267496,1.2377427
1.6359032,0.0,0.09735017,0.0,0.0,0.7510675,0.0,1.8160126,0.0,0.0,0.0,1.4722099,0.0,0.0,0.0,2.3807724,0.0,0.04016357,1.679162,1.5641538,2.5901399,2.558734,0.1042722,0.0,2.2273371,1.3435905,2.208288,0.0,0.1706693,0.0,1.2128891,1.4702853
1.9900141,0.0,0.0,0.0,0.0,0.39469442,0.0,2.3522027,0.0,0.0,0.0,1.5327221,0.0,0.0,0.0,2.4441297,0.0,0.0,2.3605359,1.9189435,2.6122959,2.535066,0.24517618,0.0,2.3872654,1.5211668,2.0945454,0.035365872,0.0,0.0,0.928255,1.3307222
1.9297125,0.0,0.0,0.0,0.0,0.30561575,0.0,2.2828388,0.0,0.0,0.0,1.5390031,0.0,0.0,0.0,2.585334,0.0,0.0,2.3367188,1.7708925,2.534928,2.3850589,0.15388377,0.0,2.195862,1.707024,2.1293247,0.0,0.0,0.0,0.93455964,1.3639233
0.96789575,0.0,0.039396815,0.0,0.36858913,0.4837875,0.0,1.4500449,0.0,0.0,0.0,1.0879848,0.0,0.0,0.0,1.258841,0.0,0.0,1.5685183,1.4916795,1.9563471,1.90134,0.37231535,0.0,1.3710119,0.8210503,1.1152583,0.16050029,0.0,0.0,0.44947946,1.3237443
1.5306723,0.34375355,0.0,0.0,0.30863878,1.295705,0.0,1.5331029,0.0,0.0,0.0,1.1976503,0.2701694,0.0,0.0,1.9781133,0.0,0.8974256,1.5577861,1.3108249,1.7421861,1.6702256,0.71273327,0.0,1.3709751,0.6752549,1.675643,0.8452723,0.6980096,0.0,0.6382727,1.000334
2.201337,0.0,0.0,0.0,0.0,0.2736833,0.0,2.399973,0.0,0.0,0.0,1.7360859,0.0,0.076253876,0.0,2.903249,0.0,0.39793837,2.5352728,1.3593454,2.840041,1.9397893,0.0,0.0,2.0346317,2.454476,2.612321,0.0,0.0,0.0,0.8270404,1.6045784
0.5451837,0.5272875,0.632594,0.0,1.2219741,1.231848,0.0,1.0322133,0.0,0.0,0.0,0.9649377,0.0,0.0,0.0,0.84476256,0.0,0.628556,1.0254484,0.8958515,0.9888058,0.49788702,0.8351523,0.0,0.48295254,0.29025158,0.55129385,1.5082778,0.39804977,0.0,0.0,0.90047145
1.2113891,0.42784345,0.55551475,0.0,0.5784724,1.5563086,0.0,1.362563,0.0,0.0,0.0,1.34748,0.12456565,0.0,0.0,1.8235444,0.0,0.84304523,0.90215665,1.1608917,1.6257476,1.6201868,0.2560094,0.0,1.2020186,0.64501506,1.7515514,0.6715914,0.8690788,0.0,0.91854525,1.2043817
1.4772898,0.0,0.0,0.0,0.14501257,0.28037724,0.0,1.8490089,0.0,0.0,0.07038045,1.5185091,0.0,0.0,0.0,2.1071055,0.0,0.0,1.9424809,1.9076555,2.6219516,2.6979105,0.0,0.0,1.9799306,1.1867481,1.7982726,0.0,0.0,0.0,0.98113865,1.3541533
1.6930977,0.29604602,0.04444056,0.0,0.1249022,1.1368088,0.0,1.622466,0.0,0.0,0.0,1.2661146,0.0,0.0,0.0,2.1356022,0.0,0.21266103,1.4741396,1.6206014,1.7022452,1.96188,0.5293396,0.0,1.8791641,0.62632567,1.7589443,0.9051695,0.5805907,0.0,0.8367176,0.9276397
1.2262942,0.49127015,0.5660557,0.0,0.80214405,1.7046778,0.0,1.5994107,0.0,0.0,0.0,1.0025653,0.41231218,0.0,0.0,1.3816143,0.0,1.2709508,1.4000925,0.5645299,1.3142135,0.4059721,0.7335878,0.0,0.56930345,0.9758359,1.5367768,1.0437084,0.78612536,0.0,0.26542372,1.1020317
1.3878335,0.75482124,0.06371155,0.0,0.8749223,1.4322222,0.0,1.3932569,0.0,0.0,0.0,1.2546551,0.0,0.0,0.0,2.0427172,0.0,1.2791914,1.3679916,0.9947481,1.6962231,1.2192823,0.5312006,0.0,0.9574534,1.0734569,1.7698212,0.96796685,0.706397,0.0,0.31806722,1.1125462
1.0577127,0.37099957,0.3041056,0.0,0.6823662,0.8109331,0.0,1.2935375,0.0,0.0,0.0,1.5022104,0.0,0.0,0.0,1.7459276,0.0,0.0,1.4990191,1.7694091,2.3285465,2.3943148,0.21286713,0.0,1.7348776,0.69283223,1.527883,0.3474505,0.0,0.0,0.88138455,1.410979
2.33665,0.25459602,0.0,0.0,0.31864545,1.2378147,0.0,2.7069597,0.0,0.0,0.0,1.6131917,0.3783724,0.0,0.0,2.9318218,0.0,1.09096,2.5857022,1.5732632,2.998642,1.6717511,0.58728355,0.0,1.4059536,2.0611537,2.749074,0.4852934,0.12897809,0.0,0.5357626,1.8248163
0.9793699,0.0,0.543005,0.0,0.0,0.8261102,0.0,1.3996371,0.0,0.0,0.0,1.1148999,0.0,0.0,0.0,1.5584184,0.0,0.0,0.932301,1.675044,2.1556413,2.3903272,0.38246804,0.0,1.6723578,0.3459148,1.2832851,0.08042698,0.25413764,0.0,1.1840777,1.1372957
2.4882011,0.0,0.0,0.0,0.0,0.07067303,0.0,2.8204799,0.0,0.0,0.0,1.9417622,0.0,0.13535161,0.0,3.0404575,0.0,0.014049344,3.1592505,2.2417958,3.8214989,3.0281417,0.0,0.0,2.6373925,2.3192534,2.7080326,0.0,0.0,0.0,1.0715413,1.7326171
1.6939288,0.0,0.12569699,0.0,0.0,1.0978645,0.0,2.0662284,0.0,0.0,0.0,1.1901225,0.4252932,0.0,0.0,2.1085227,0.0,0.45494735,1.7350472,1.4832062,2.401928,1.9550596,0.3183158,0.0,1.7851634,1.3188802,1.9089293,0.0420584,0.2651785,0.0,1.0979307,1.2186538
2.4004471,0.0,0.0,0.0,0.0,0.5219206,0.0,2.6217964,0.0,0.0,0.0,1.8213702,0.17436628,0.0,0.0,2.673153,0.0,0.18788606,2.5673301,1.7628688,3.0398707,2.290999,0.0909086,0.0,2.6210842,1.9269586,2.512625,0.020459644,0.0,0.0,0.7674959,1.4723886
1.6836026,0.0497396,0.030174337,0.0,0.14083774,1.4391946,0.0,1.9888288,0.0,0.0,0.0,1.2567756,0.57080257,0.0,0.0,2.186569,0.0,1.0177262,1.7443844,1.3611022,2.2889366,1.6759653,0.7319733,0.0,1.3206853,1.1036901,2.0081518,0.5867764,0.6988658,0.0,0.788231,1.2795112
1.7676585,0.33103275,0.0,0.0,0.20935316,0.7908022,0.0,1.8637532,0.0,0.0,0.0,1.4897525,0.023250911,0.0,0.0,2.5037677,0.0,0.7666305,1.951615,1.2491328,2.5268412,1.7916055,0.25324428,0.0,1.7753451,1.6796231,2.2396088,0.23398483,0.21970208,0.0,0.7984856,1.225191
2.0510347,0.0,0.08601048,0.0,0.0,0.73574483,0.0,2.5461109,0.0,0.0,0.0,1.8232477,0.0,0.0,0.0,2.808296,0.0,0.0,2.0186841,2.0996697,3.1279793,2.6164227,0.00875859,0.0,2.3255363,1.5051336,2.8380218,0.0,0.0,0.0,1.3213727,1.9938965
