emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0.0,0.0,0.0,3.6859024,2.314897,2.1415236,1.0021006,1.9735392,0.0,0.0,0.0,1.397346,0.30280867,3.266526,0.0,0.0,0.0,2.438751,2.3894575,0.7389537,0.0,1.0028751,2.3499897,1.2015363,0.0,1.2528836,2.228571,0.683928,1.3002477,2.0181034,0.0,3.1384568
0.0,0.0,0.0,3.805727,1.4737482,1.0848669,1.4206452,2.8408175,0.0,0.0,0.0,2.4937577,2.0430086,1.7409974,0.0,0.0,0.0,3.380238,1.5380508,1.4017181,0.0,1.4776391,1.2611799,1.3704885,0.0,0.5346013,0.5246999,1.55613,1.7535095,0.24364752,0.0,2.026315
0.0,0.0,0.0,3.9039865,1.6961476,1.096637,1.8037515,2.7401214,0.0,0.0,0.0,2.594797,1.9691676,1.4430983,0.0,0.0,0.0,3.0682027,1.1130279,1.0965251,0.0,1.0366822,0.7907763,1.446945,0.0,0.5307795,1.0733812,1.7594057,1.8762255,0.56521547,0.0,1.3508863
0.0,0.0,0.0,4.536239,1.4015152,1.1050187,2.2357366,3.1094532,0.0,0.0,0.0,2.9367895,2.3692935,1.3081877,0.0,0.0,0.0,3.3984902,1.4262778,1.1763817,0.0,0.5221053,0.88039565,1.3883684,0.0,0.34575185,0.7588801,1.9791806,1.6701603,0.3569601,0.0,1.4681925
0.32845673,0.0,0.0,1.9690776,0.26760077,0.4159236,0.9191278,2.0247827,0.0,0.0,0.0,1.5411,1.146573,0.38585287,0.0,0.0,0.0,2.085534,0.34043708,0.41646874,0.0,0.34267753,0.65398586,0.35446772,0.0,0.0,0.2538784,0.6001876,1.4208649,0.23026605,0.0,0.921892
0.37370118,0.0,0.0,1.9134909,0.19407062,0.3857005,0.91277754,2.0572543,0.0,0.0,0.0,1.4856743,1.1185405,0.32422167,0.0,0.0,0.0,2.1364112,0.25041693,0.4538937,0.0,0.39527106,0.59420097,0.3763345,0.0,0.0,0.23550752,0.5565359,1.471871,0.17096835,0.0,0.91570765
0.0,0.0,0.0,4.46737,2.4805572,1.5640434,1.5694425,2.9919355,0.0,0.0,0.0,2.1684854,1.6098692,1.8186473,0.0,0.0,0.0,3.420941,1.7630762,1.043418,0.0,1.2565441,1.7701856,2.037287,0.0,1.2372061,1.2260047,1.4002038,1.6669753,1.1862729,0.0,3.233337
0.0,0.0,0.0,3.7982073,2.4114125,2.0441647,0.91585803,2.0061724,0.0,0.0,0.0,1.2936102,0.50880015,2.937397,0.0,0.0,0.0,2.5251064,2.4221015,0.28512892,0.0,0.75012046,2.3364997,1.1343063,0.0,1.3358175,2.4271724,0.6167741,1.1470923,2.0479224,0.0,3.233585
0.0,0.0,0.0,3.572738,0.6094929,0.41771725,1.6185349,2.792728,0.0,0.0,0.0,2.3705266,2.137507,0.4020859,0.0,0.0,0.0,3.364984,0.68539315,1.2165387,0.0,1.0587052,0.42479956,1.0474479,0.0,0.0,0.39891344,1.3614968,2.235363,0.0,0.0,0.7828263
0.0,0.0,0.0,3.631554,1.4174906,0.9072703,1.3054492,2.4182992,0.0,0.0,0.0,2.160326,1.509923,1.6384021,0.0,0.0,0.0,2.94986,1.4447585,1.2886026,0.0,1.3816597,1.0280051,1.3504694,0.0,0.64459896,1.3402696,1.1536318,2.1509192,0.8557931,0.0,1.4292551
0.0,0.0,0.0,3.6832755,1.971515,2.287348,0.9189649,1.9017931,0.0,0.0,0.0,1.2663914,0.34442386,3.505251,0.0,0.0,0.0,2.7059805,2.6204622,0.15320657,0.0,0.4677369,2.697353,0.5525031,0.0,1.1752014,2.6530023,0.410401,1.6426064,1.8955014,0.0,3.1456132
0.0,0.0,0.0,3.487904,2.3774788,1.973716,0.80600834,1.9946778,0.0,0.0,0.0,1.4233942,0.5012217,2.9829884,0.0,0.0,0.0,2.4256444,2.1619265,0.45818278,0.0,1.0238161,2.05522,1.0713928,0.0,1.173628,2.214994,0.7507951,1.2450596,1.9794247,0.0,3.0111587
0.29940465,0.0,0.0,2.1330717,0.11749037,0.020819452,1.2205408,2.4264026,0.0,0.0,0.0,1.9229488,1.6425154,0.0,0.0,0.0,0.0,2.423837,0.0,0.7616972,0.0,0.7343016,0.197278,0.64432096,0.0,0.0,0.0,0.87503576,1.8000947,0.0,0.0,0.43727648
0.30324867,0.0,0.0,2.1219242,0.13994229,0.04475173,1.2055296,2.3915114,0.0,0.0,0.0,1.9065026,1.6115193,0.0,0.0,0.0,0.0,2.4147701,0.0,0.73897016,0.0,0.71736664,0.21993582,0.61968404,0.0,0.0,0.0,0.8759631,1.80002,0.0,0.0,0.46585894
0.2617217,0.0,0.0,1.8678433,0.35899568,0.34811038,1.089192,1.9175625,0.0,0.0,0.0,1.5916752,1.2775254,0.37381852,0.0,0.0,0.0,2.0648243,0.1612885,0.5255469,0.0,0.46722984,0.3930765,0.42737234,0.0,0.05529686,0.2906809,0.5797931,1.547356,0.37690765,0.0,0.53553945
