emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0.5896775,2.1915815,0.0,0.0,2.2093055,1.4988021,0.16794854,0.50474167,0.0,0.6608544,1.341597,0.0,0.67383134,0.09577431,0.53309745,0.4207685,0.0,1.1519898,0.73937607,0.0,0.35796887,0.0,2.508785,0.0,0.80438834,0.30075595,0.74264663,1.2981392,2.735243,0.7766948,0.808145,0.024618123
1.0258615,0.6204396,0.0,0.0,0.5607314,0.77230215,1.1918895,2.1625557,0.0,1.70452,0.2689492,1.0219144,0.9466805,0.2276103,1.243692,1.346048,0.0,1.3464383,1.6963761,0.0,1.0952067,0.0,0.6409582,0.0,1.641851,1.9647262,2.0181973,0.79568464,0.87397844,0.0,0.0,1.1465093
1.5148175,0.0,0.0,0.0,0.0,0.0,1.2770939,2.7746034,0.0,1.28571,0.0,1.775309,1.302527,1.1970124,1.5947157,1.8847522,0.0,0.6981426,1.6033223,0.0,2.4826481,0.0,0.0,0.0,2.2702584,2.4462066,2.7718484,0.0,0.0,0.0,0.0,2.15104
0.60071045,1.7234569,0.0,0.0,1.3692242,1.0837104,0.0,0.4936399,0.0,0.0,1.1964059,0.4719442,0.33032227,0.55126226,0.0,0.68043566,0.0,0.8229666,0.6172027,0.0,0.6471,0.0,1.3467113,0.0,0.21558017,0.63823473,0.8719767,1.0387778,1.4198246,1.0207115,0.14194576,0.35624328
0.9171048,0.20062406,0.0,0.0,0.5826293,0.40226346,1.0745196,1.9249552,0.0,1.6830173,0.0,1.3078263,1.3678635,0.60738856,1.5212961,1.0033612,0.0,1.2697078,0.7778355,0.0,1.5610145,0.0,0.47314778,0.0,1.5895545,1.7845439,1.8616701,0.0,0.6146468,0.0,0.0,1.2543498
0.8898336,0.21823333,0.0,0.0,0.60343736,0.4111136,1.0690465,1.8927722,0.0,1.6594212,0.0,1.2890835,1.375008,0.6108599,1.5214448,0.9814483,0.0,1.2710546,0.7637798,0.0,1.5401151,0.0,0.47864634,0.0,1.5585014,1.7703801,1.8527249,0.0,0.6442107,0.0,0.0,1.2427031
0.65410095,0.8323338,0.0,0.0,1.3481236,0.46288297,0.8987171,1.6453859,0.0,0.96798044,0.6612963,0.74146074,0.99626017,0.54221195,1.1877036,0.8775742,0.0,0.88426423,1.2982544,0.0,1.1888537,0.0,1.2127818,0.0,1.4407123,1.0647902,1.4238974,0.4683504,1.229126,0.722557,0.6519982,1.0129969
0.0,2.1430485,0.0,0.0,2.4927177,1.5542324,0.20607081,0.42459536,0.0,0.4966485,0.9055181,0.38741398,1.1544571,0.0,0.56129473,0.07308579,0.0,1.5137472,0.0,0.0,0.0,0.0,2.4082024,0.0,0.0,0.0,0.3268125,1.351887,2.3011892,0.8854214,0.3645973,0.23699805
1.3272451,0.0,0.0,0.0,0.0,0.0,1.264713,2.6656947,0.0,1.630763,0.0,1.9305869,1.5131485,1.2998831,1.979925,1.6394352,0.0,0.79517585,1.5101899,0.0,2.206483,0.0,0.0,0.0,2.1493645,2.7572308,2.6076055,0.0,0.0,0.0,0.0,1.9697801
1.3768702,0.0,0.0,0.0,0.0,0.0,1.1486443,2.5468392,0.0,1.3296151,0.053280003,1.4058436,1.1120794,1.1526269,1.5569849,1.8414054,0.0,0.6362668,1.7864947,0.0,2.0472183,0.0,0.0,0.0,2.3219216,2.5219817,2.746573,0.0,0.24359891,0.0,0.0,1.7893406
